key,type,release,milestone,epic,feature,title,area,priority,status,estimate,parent,depends_on,body_file
MVP-E02-F01-S02,story,MVP,MVP,Statement Ingestion,Upload Workflow,[MVP-E02-F01-S02] Validate uploaded statement files,api,high,Backlog,3,MVP-E02-F01,,portfolio/issues/stories/MVP-E02-F01-S02-mvp-e02-f01-s02-validate-uploaded-statement-files.md
MVP-E02-F01-S03,story,MVP,MVP,Statement Ingestion,Upload Workflow,[MVP-E02-F01-S03] Create statement processing job record,api,high,Backlog,3,MVP-E02-F01,,portfolio/issues/stories/MVP-E02-F01-S03-mvp-e02-f01-s03-create-statement-processing-job-record.md
MVP-E02-F01-S04,story,MVP,MVP,Statement Ingestion,Upload Workflow,[MVP-E02-F01-S04] Create upload audit trail,api,high,Backlog,3,MVP-E02-F01,,portfolio/issues/stories/MVP-E02-F01-S04-mvp-e02-f01-s04-create-upload-audit-trail.md
MVP-E02-F02,feature,MVP,MVP,Statement Ingestion,Document Storage,[MVP-E02-F02] Document Storage,security,high,Backlog,,MVP-E02,,portfolio/issues/features/MVP-E02-F02-mvp-e02-f02-document-storage.md
MVP-E02-F02-S01,story,MVP,MVP,Statement Ingestion,Document Storage,[MVP-E02-F02-S01] Implement storage provider abstraction,security,high,Backlog,3,MVP-E02-F02,MVP-E02-F01-S04,portfolio/issues/stories/MVP-E02-F02-S01-mvp-e02-f02-s01-implement-storage-provider-abstraction.md
MVP-E02-F02-S02,story,MVP,MVP,Statement Ingestion,Document Storage,[MVP-E02-F02-S02] Implement local encrypted storage provider,security,high,Backlog,3,MVP-E02-F02,,portfolio/issues/stories/MVP-E02-F02-S02-mvp-e02-f02-s02-implement-local-encrypted-storage-provider.md
MVP-E02-F02-S03,story,MVP,MVP,Statement Ingestion,Document Storage,[MVP-E02-F02-S03] Create file metadata persistence,security,high,Backlog,3,MVP-E02-F02,,portfolio/issues/stories/MVP-E02-F02-S03-mvp-e02-f02-s03-create-file-metadata-persistence.md
MVP-E02-F02-S04,story,MVP,MVP,Statement Ingestion,Document Storage,[MVP-E02-F02-S04] Create retention policy service,security,high,Backlog,3,MVP-E02-F02,,portfolio/issues/stories/MVP-E02-F02-S04-mvp-e02-f02-s04-create-retention-policy-service.md
MVP-E02-F03,feature,MVP,MVP,Statement Ingestion,Processing Orchestration,[MVP-E02-F03] Processing Orchestration,infrastructure,high,Backlog,,MVP-E02,,portfolio/issues/features/MVP-E02-F03-mvp-e02-f03-processing-orchestration.md
MVP-E02-F03-S01,story,MVP,MVP,Statement Ingestion,Processing Orchestration,[MVP-E02-F03-S01] Create processing status state machine,infrastructure,high,Backlog,3,MVP-E02-F03,MVP-E02-F02-S04,portfolio/issues/stories/MVP-E02-F03-S01-mvp-e02-f03-s01-create-processing-status-state-machine.md
MVP-E02-F03-S02,story,MVP,MVP,Statement Ingestion,Processing Orchestration,[MVP-E02-F03-S02] Create background worker skeleton,infrastructure,high,Backlog,3,MVP-E02-F03,,portfolio/issues/stories/MVP-E02-F03-S02-mvp-e02-f03-s02-create-background-worker-skeleton.md
MVP-E02-F03-S03,story,MVP,MVP,Statement Ingestion,Processing Orchestration,[MVP-E02-F03-S03] Add idempotency for uploads,infrastructure,high,Backlog,3,MVP-E02-F03,,portfolio/issues/stories/MVP-E02-F03-S03-mvp-e02-f03-s03-add-idempotency-for-uploads.md
MVP-E03,epic,MVP,MVP,PDF Extraction,,[MVP-E03] PDF Extraction,parser,high,Backlog,,,,portfolio/issues/epics/MVP-E03-mvp-e03-pdf-extraction.md
MVP-E03-F01,feature,MVP,MVP,PDF Extraction,Digital PDF Extraction,[MVP-E03-F01] Digital PDF Extraction,parser,high,Backlog,,MVP-E03,,portfolio/issues/features/MVP-E03-F01-mvp-e03-f01-digital-pdf-extraction.md
MVP-E03-F01-S01,story,MVP,MVP,PDF Extraction,Digital PDF Extraction,[MVP-E03-F01-S01] Integrate Node PDF text extraction,parser,high,Backlog,3,MVP-E03-F01,,portfolio/issues/stories/MVP-E03-F01-S01-mvp-e03-f01-s01-integrate-pdfpig-digital-text-extraction.md
MVP-E03-F01-S02,story,MVP,MVP,PDF Extraction,Digital PDF Extraction,[MVP-E03-F01-S02] Create extraction result model,parser,high,Backlog,3,MVP-E03-F01,,portfolio/issues/stories/MVP-E03-F01-S02-mvp-e03-f01-s02-create-extraction-result-model.md
MVP-E03-F01-S03,story,MVP,MVP,PDF Extraction,Digital PDF Extraction,[MVP-E03-F01-S03] Preserve reading order,parser,high,Backlog,3,MVP-E03-F01,,portfolio/issues/stories/MVP-E03-F01-S03-mvp-e03-f01-s03-preserve-reading-order.md
MVP-E03-F01-S04,story,MVP,MVP,PDF Extraction,Digital PDF Extraction,[MVP-E03-F01-S04] Detect password-protected or image-only PDFs,parser,high,Backlog,3,MVP-E03-F01,,portfolio/issues/stories/MVP-E03-F01-S04-mvp-e03-f01-s04-detect-password-protected-or-image-only-pdfs.md
MVP-E03-F02,feature,MVP,MVP,PDF Extraction,OCR Extraction,[MVP-E03-F02] OCR Extraction,ocr,high,Backlog,,MVP-E03,,portfolio/issues/features/MVP-E03-F02-mvp-e03-f02-ocr-extraction.md
MVP-E03-F02-S01,story,MVP,MVP,PDF Extraction,OCR Extraction,[MVP-E03-F02-S01] Integrate Node OCR service adapter,ocr,high,Backlog,3,MVP-E03-F02,MVP-E03-F01-S04,portfolio/issues/stories/MVP-E03-F02-S01-mvp-e03-f02-s01-integrate-tesseract-ocr-service.md
MVP-E03-F02-S02,story,MVP,MVP,PDF Extraction,OCR Extraction,[MVP-E03-F02-S02] Create OCR image preprocessing pipeline,ocr,high,Backlog,3,MVP-E03-F02,,portfolio/issues/stories/MVP-E03-F02-S02-mvp-e03-f02-s02-create-ocr-image-preprocessing-pipeline.md
MVP-E03-F02-S03,story,MVP,MVP,PDF Extraction,OCR Extraction,[MVP-E03-F02-S03] Implement OCR confidence scoring,ocr,high,Backlog,3,MVP-E03-F02,,portfolio/issues/stories/MVP-E03-F02-S03-mvp-e03-f02-s03-implement-ocr-confidence-scoring.md
MVP-E03-F02-S04,story,MVP,MVP,PDF Extraction,OCR Extraction,[MVP-E03-F02-S04] Create OCR fallback workflow,ocr,high,Backlog,3,MVP-E03-F02,,portfolio/issues/stories/MVP-E03-F02-S04-mvp-e03-f02-s04-create-ocr-fallback-workflow.md
MVP-E03-F03,feature,MVP,MVP,PDF Extraction,Bank and Statement Detection,[MVP-E03-F03] Bank and Statement Detection,parser,high,Backlog,,MVP-E03,,portfolio/issues/features/MVP-E03-F03-mvp-e03-f03-bank-and-statement-detection.md
MVP-E03-F03-S01,story,MVP,MVP,PDF Extraction,Bank and Statement Detection,[MVP-E03-F03-S01] Create bank detection engine,parser,high,Backlog,3,MVP-E03-F03,MVP-E03-F02-S04,portfolio/issues/stories/MVP-E03-F03-S01-mvp-e03-f03-s01-create-bank-detection-engine.md
MVP-E03-F03-S02,story,MVP,MVP,PDF Extraction,Bank and Statement Detection,[MVP-E03-F03-S02] Detect FNB statement format,parser,high,Backlog,3,MVP-E03-F03,,portfolio/issues/stories/MVP-E03-F03-S02-mvp-e03-f03-s02-detect-fnb-statement-format.md
MVP-E03-F03-S03,story,MVP,MVP,PDF Extraction,Bank and Statement Detection,[MVP-E03-F03-S03] Detect Standard Bank statement format,parser,high,Backlog,3,MVP-E03-F03,,portfolio/issues/stories/MVP-E03-F03-S03-mvp-e03-f03-s03-detect-standard-bank-statement-format.md
MVP-E03-F03-S04,story,MVP,MVP,PDF Extraction,Bank and Statement Detection,[MVP-E03-F03-S04] Detect ABSA statement format,parser,high,Backlog,3,MVP-E03-F03,,portfolio/issues/stories/MVP-E03-F03-S04-mvp-e03-f03-s04-detect-absa-statement-format.md
MVP-E03-F03-S05,story,MVP,MVP,PDF Extraction,Bank and Statement Detection,[MVP-E03-F03-S05] Detect Nedbank statement format,parser,high,Backlog,3,MVP-E03-F03,,portfolio/issues/stories/MVP-E03-F03-S05-mvp-e03-f03-s05-detect-nedbank-statement-format.md
MVP-E03-F03-S06,story,MVP,MVP,PDF Extraction,Bank and Statement Detection,[MVP-E03-F03-S06] Detect Capitec statement format,parser,high,Backlog,3,MVP-E03-F03,,portfolio/issues/stories/MVP-E03-F03-S06-mvp-e03-f03-s06-detect-capitec-statement-format.md
MVP-E03-F03-S07,story,MVP,MVP,PDF Extraction,Bank and Statement Detection,[MVP-E03-F03-S07] Detect Discovery Bank and TymeBank formats,parser,high,Backlog,3,MVP-E03-F03,,portfolio/issues/stories/MVP-E03-F03-S07-mvp-e03-f03-s07-detect-discovery-bank-and-tymebank-formats.md
MVP-E04,epic,MVP,MVP,Transaction Normalization,,[MVP-E04] Transaction Normalization,parser,high,Backlog,,,,portfolio/issues/epics/MVP-E04-mvp-e04-transaction-normalization.md
MVP-E04-F01,feature,MVP,MVP,Transaction Normalization,Canonical Financial Model,[MVP-E04-F01] Canonical Financial Model,financial-engine,high,Backlog,,MVP-E04,,portfolio/issues/features/MVP-E04-F01-mvp-e04-f01-canonical-financial-model.md
MVP-E04-F01-S01,story,MVP,MVP,Transaction Normalization,Canonical Financial Model,[MVP-E04-F01-S01] Create Statement aggregate,financial-engine,high,Backlog,3,MVP-E04-F01,,portfolio/issues/stories/MVP-E04-F01-S01-mvp-e04-f01-s01-create-statement-aggregate.md
MVP-E04-F01-S02,story,MVP,MVP,Transaction Normalization,Canonical Financial Model,[MVP-E04-F01-S02] Create Transaction entity,financial-engine,high,Backlog,3,MVP-E04-F01,,portfolio/issues/stories/MVP-E04-F01-S02-mvp-e04-f01-s02-create-transaction-entity.md
MVP-E04-F01-S03,story,MVP,MVP,Transaction Normalization,Canonical Financial Model,[MVP-E04-F01-S03] Create Account and Merchant entities,financial-engine,high,Backlog,3,MVP-E04-F01,,portfolio/issues/stories/MVP-E04-F01-S03-mvp-e04-f01-s03-create-account-and-merchant-entities.md
MVP-E04-F01-S04,story,MVP,MVP,Transaction Normalization,Canonical Financial Model,[MVP-E04-F01-S04] Create money and currency value objects,financial-engine,high,Backlog,3,MVP-E04-F01,,portfolio/issues/stories/MVP-E04-F01-S04-mvp-e04-f01-s04-create-money-and-currency-value-objects.md
MVP-E04-F02,feature,MVP,MVP,Transaction Normalization,Extraction Rules,[MVP-E04-F02] Extraction Rules,parser,high,Backlog,,MVP-E04,,portfolio/issues/features/MVP-E04-F02-mvp-e04-f02-extraction-rules.md
MVP-E04-F02-S01,story,MVP,MVP,Transaction Normalization,Extraction Rules,[MVP-E04-F02-S01] Implement date extraction rules,parser,high,Backlog,3,MVP-E04-F02,MVP-E04-F01-S04,portfolio/issues/stories/MVP-E04-F02-S01-mvp-e04-f02-s01-implement-date-extraction-rules.md
MVP-E04-F02-S02,story,MVP,MVP,Transaction Normalization,Extraction Rules,[MVP-E04-F02-S02] Implement amount extraction rules,parser,high,Backlog,3,MVP-E04-F02,,portfolio/issues/stories/MVP-E04-F02-S02-mvp-e04-f02-s02-implement-amount-extraction-rules.md
MVP-E04-F02-S03,story,MVP,MVP,Transaction Normalization,Extraction Rules,[MVP-E04-F02-S03] Implement balance extraction rules,parser,high,Backlog,3,MVP-E04-F02,,portfolio/issues/stories/MVP-E04-F02-S03-mvp-e04-f02-s03-implement-balance-extraction-rules.md
MVP-E04-F02-S04,story,MVP,MVP,Transaction Normalization,Extraction Rules,[MVP-E04-F02-S04] Implement description and reference extraction,parser,high,Backlog,3,MVP-E04-F02,,portfolio/issues/stories/MVP-E04-F02-S04-mvp-e04-f02-s04-implement-description-and-reference-extraction.md
MVP-E04-F02-S05,story,MVP,MVP,Transaction Normalization,Extraction Rules,[MVP-E04-F02-S05] Create generic table row parser,parser,high,Backlog,3,MVP-E04-F02,,portfolio/issues/stories/MVP-E04-F02-S05-mvp-e04-f02-s05-create-generic-table-row-parser.md
MVP-E04-F03,feature,MVP,MVP,Transaction Normalization,Bank Specific Parsers,[MVP-E04-F03] Bank Specific Parsers,parser,high,Backlog,,MVP-E04,,portfolio/issues/features/MVP-E04-F03-mvp-e04-f03-bank-specific-parsers.md
MVP-E04-F03-S01,story,MVP,MVP,Transaction Normalization,Bank Specific Parsers,[MVP-E04-F03-S01] Create FNB transaction parser,parser,high,Backlog,3,MVP-E04-F03,MVP-E04-F02-S05,portfolio/issues/stories/MVP-E04-F03-S01-mvp-e04-f03-s01-create-fnb-transaction-parser.md
MVP-E04-F03-S02,story,MVP,MVP,Transaction Normalization,Bank Specific Parsers,[MVP-E04-F03-S02] Create Standard Bank transaction parser,parser,high,Backlog,3,MVP-E04-F03,,portfolio/issues/stories/MVP-E04-F03-S02-mvp-e04-f03-s02-create-standard-bank-transaction-parser.md
MVP-E04-F03-S03,story,MVP,MVP,Transaction Normalization,Bank Specific Parsers,[MVP-E04-F03-S03] Create ABSA transaction parser,parser,high,Backlog,3,MVP-E04-F03,,portfolio/issues/stories/MVP-E04-F03-S03-mvp-e04-f03-s03-create-absa-transaction-parser.md
MVP-E04-F03-S04,story,MVP,MVP,Transaction Normalization,Bank Specific Parsers,[MVP-E04-F03-S04] Create Nedbank transaction parser,parser,high,Backlog,3,MVP-E04-F03,,portfolio/issues/stories/MVP-E04-F03-S04-mvp-e04-f03-s04-create-nedbank-transaction-parser.md
MVP-E04-F03-S05,story,MVP,MVP,Transaction Normalization,Bank Specific Parsers,[MVP-E04-F03-S05] Create Capitec transaction parser,parser,high,Backlog,3,MVP-E04-F03,,portfolio/issues/stories/MVP-E04-F03-S05-mvp-e04-f03-s05-create-capitec-transaction-parser.md
MVP-E04-F03-S06,story,MVP,MVP,Transaction Normalization,Bank Specific Parsers,[MVP-E04-F03-S06] Create generic fallback parser,parser,high,Backlog,3,MVP-E04-F03,,portfolio/issues/stories/MVP-E04-F03-S06-mvp-e04-f03-s06-create-generic-fallback-parser.md
MVP-E05,epic,MVP,MVP,Validation and Privacy,,[MVP-E05] Validation and Privacy,security,high,Backlog,,,,portfolio/issues/epics/MVP-E05-mvp-e05-validation-and-privacy.md
MVP-E05-F01,feature,MVP,MVP,Validation and Privacy,Statement Validation,[MVP-E05-F01] Statement Validation,financial-engine,high,Backlog,,MVP-E05,,portfolio/issues/features/MVP-E05-F01-mvp-e05-f01-statement-validation.md
MVP-E05-F01-S01,story,MVP,MVP,Validation and Privacy,Statement Validation,[MVP-E05-F01-S01] Validate opening and closing balances,financial-engine,high,Backlog,3,MVP-E05-F01,,portfolio/issues/stories/MVP-E05-F01-S01-mvp-e05-f01-s01-validate-opening-and-closing-balances.md
MVP-E05-F01-S02,story,MVP,MVP,Validation and Privacy,Statement Validation,[MVP-E05-F01-S02] Validate running balances,financial-engine,high,Backlog,3,MVP-E05-F01,,portfolio/issues/stories/MVP-E05-F01-S02-mvp-e05-f01-s02-validate-running-balances.md
MVP-E05-F01-S03,story,MVP,MVP,Validation and Privacy,Statement Validation,[MVP-E05-F01-S03] Detect duplicate transactions,financial-engine,high,Backlog,3,MVP-E05-F01,,portfolio/issues/stories/MVP-E05-F01-S03-mvp-e05-f01-s03-detect-duplicate-transactions.md
MVP-E05-F01-S04,story,MVP,MVP,Validation and Privacy,Statement Validation,[MVP-E05-F01-S04] Detect missing or suspicious transaction gaps,financial-engine,high,Backlog,3,MVP-E05-F01,,portfolio/issues/stories/MVP-E05-F01-S04-mvp-e05-f01-s04-detect-missing-or-suspicious-transaction-gaps.md
MVP-E05-F01-S05,story,MVP,MVP,Validation and Privacy,Statement Validation,[MVP-E05-F01-S05] Create validation report model,financial-engine,high,Backlog,3,MVP-E05-F01,,portfolio/issues/stories/MVP-E05-F01-S05-mvp-e05-f01-s05-create-validation-report-model.md
MVP-E05-F02,feature,MVP,MVP,Validation and Privacy,PII and Redaction,[MVP-E05-F02] PII and Redaction,security,high,Backlog,,MVP-E05,,portfolio/issues/features/MVP-E05-F02-mvp-e05-f02-pii-and-redaction.md
MVP-E05-F02-S01,story,MVP,MVP,Validation and Privacy,PII and Redaction,[MVP-E05-F02-S01] Detect account numbers and card numbers,security,high,Backlog,3,MVP-E05-F02,MVP-E05-F01-S05,portfolio/issues/stories/MVP-E05-F02-S01-mvp-e05-f02-s01-detect-account-numbers-and-card-numbers.md
MVP-E05-F02-S02,story,MVP,MVP,Validation and Privacy,PII and Redaction,"[MVP-E05-F02-S02] Detect ID numbers, emails and phone numbers",security,high,Backlog,3,MVP-E05-F02,,portfolio/issues/stories/MVP-E05-F02-S02-mvp-e05-f02-s02-detect-id-numbers-emails-and-phone-numbers.md
MVP-E05-F02-S03,story,MVP,MVP,Validation and Privacy,PII and Redaction,[MVP-E05-F02-S03] Implement masking and tokenization,security,high,Backlog,3,MVP-E05-F02,,portfolio/issues/stories/MVP-E05-F02-S03-mvp-e05-f02-s03-implement-masking-and-tokenization.md
MVP-E05-F02-S04,story,MVP,MVP,Validation and Privacy,PII and Redaction,[MVP-E05-F02-S04] Create sanitized data contract for AI,security,high,Backlog,3,MVP-E05-F02,,portfolio/issues/stories/MVP-E05-F02-S04-mvp-e05-f02-s04-create-sanitized-data-contract-for-ai.md
MVP-E05-F02-S05,story,MVP,MVP,Validation and Privacy,PII and Redaction,[MVP-E05-F02-S05] Create prompt inspection pipeline,security,high,Backlog,3,MVP-E05-F02,,portfolio/issues/stories/MVP-E05-F02-S05-mvp-e05-f02-s05-create-prompt-inspection-pipeline.md
MVP-E06,epic,MVP,MVP,Financial Engine,,[MVP-E06] Financial Engine,financial-engine,high,Backlog,,,,portfolio/issues/epics/MVP-E06-mvp-e06-financial-engine.md
MVP-E06-F01,feature,MVP,MVP,Financial Engine,Income Analysis,[MVP-E06-F01] Income Analysis,financial-engine,high,Backlog,,MVP-E06,,portfolio/issues/features/MVP-E06-F01-mvp-e06-f01-income-analysis.md
MVP-E06-F01-S01,story,MVP,MVP,Financial Engine,Income Analysis,[MVP-E06-F01-S01] Detect salary income,financial-engine,medium,Backlog,3,MVP-E06-F01,,portfolio/issues/stories/MVP-E06-F01-S01-mvp-e06-f01-s01-detect-salary-income.md
MVP-E06-F01-S02,story,MVP,MVP,Financial Engine,Income Analysis,[MVP-E06-F01-S02] Detect multiple income streams,financial-engine,medium,Backlog,3,MVP-E06-F01,,portfolio/issues/stories/MVP-E06-F01-S02-mvp-e06-f01-s02-detect-multiple-income-streams.md
MVP-E06-F01-S03,story,MVP,MVP,Financial Engine,Income Analysis,[MVP-E06-F01-S03] Calculate income stability score,financial-engine,medium,Backlog,3,MVP-E06-F01,,portfolio/issues/stories/MVP-E06-F01-S03-mvp-e06-f01-s03-calculate-income-stability-score.md
MVP-E06-F01-S04,story,MVP,MVP,Financial Engine,Income Analysis,[MVP-E06-F01-S04] Calculate income trends,financial-engine,medium,Backlog,3,MVP-E06-F01,,portfolio/issues/stories/MVP-E06-F01-S04-mvp-e06-f01-s04-calculate-income-trends.md
MVP-E06-F02,feature,MVP,MVP,Financial Engine,Expense Analysis,[MVP-E06-F02] Expense Analysis,financial-engine,high,Backlog,,MVP-E06,,portfolio/issues/features/MVP-E06-F02-mvp-e06-f02-expense-analysis.md
MVP-E06-F02-S01,story,MVP,MVP,Financial Engine,Expense Analysis,[MVP-E06-F02-S01] Detect fixed expenses,financial-engine,medium,Backlog,3,MVP-E06-F02,MVP-E06-F01-S04,portfolio/issues/stories/MVP-E06-F02-S01-mvp-e06-f02-s01-detect-fixed-expenses.md
MVP-E06-F02-S02,story,MVP,MVP,Financial Engine,Expense Analysis,[MVP-E06-F02-S02] Detect variable expenses,financial-engine,medium,Backlog,3,MVP-E06-F02,,portfolio/issues/stories/MVP-E06-F02-S02-mvp-e06-f02-s02-detect-variable-expenses.md
MVP-E06-F02-S03,story,MVP,MVP,Financial Engine,Expense Analysis,[MVP-E06-F02-S03] Detect subscriptions,financial-engine,medium,Backlog,3,MVP-E06-F02,,portfolio/issues/stories/MVP-E06-F02-S03-mvp-e06-f02-s03-detect-subscriptions.md
MVP-E06-F02-S04,story,MVP,MVP,Financial Engine,Expense Analysis,[MVP-E06-F02-S04] Detect lifestyle and discretionary spend,financial-engine,medium,Backlog,3,MVP-E06-F02,,portfolio/issues/stories/MVP-E06-F02-S04-mvp-e06-f02-s04-detect-lifestyle-and-discretionary-spend.md
MVP-E06-F03,feature,MVP,MVP,Financial Engine,Debt and Savings Analysis,[MVP-E06-F03] Debt and Savings Analysis,financial-engine,high,Backlog,,MVP-E06,,portfolio/issues/features/MVP-E06-F03-mvp-e06-f03-debt-and-savings-analysis.md
MVP-E06-F03-S01,story,MVP,MVP,Financial Engine,Debt and Savings Analysis,[MVP-E06-F03-S01] Detect debt repayments,financial-engine,medium,Backlog,3,MVP-E06-F03,MVP-E06-F02-S04,portfolio/issues/stories/MVP-E06-F03-S01-mvp-e06-f03-s01-detect-debt-repayments.md
